stt_bbox,ma_anh,ma_san_pham,ten_san_pham,duong_dan_anh,sha256,url_anh,nhan_goi_y,so_logo_goi_y,trang_thai_bbox,so_bbox,boxes_json,ghi_chu_bbox
1,anh_000005,san_pham_0002,Chả Bò Tai Ớt Xanh,data\du_lieu_logo\anh_goc\san_pham_0002\anh_001_bd2cb1a6.jpg,bd2cb1a60a265ed4ff3dd60560c5840269d4ef03d703086745f2b288a74c66d6,https://d134sx875xrex2.cloudfront.net/YGBWKXDi3I_chabotaixanh.jpg,haccp,1,da_gan_bbox,1,"[{""label"":""haccp"",""x"":385,""y"":493,""w"":105,""h"":94}]",Bounding box được audit và gán từ ảnh gốc.
2,anh_000009,san_pham_0003,Chả Bò Thượng Hạng,data\du_lieu_logo\anh_goc\san_pham_0003\anh_001_32e3ff8b.jpg,32e3ff8b45b2e2bbaab661e779fa3de0b7f442a27b2c8dc6e0f353c929d4e394,https://d134sx875xrex2.cloudfront.net/KfJcayiRjv_chabothuonghang.jpg,haccp,1,da_gan_bbox,1,"[{""label"":""haccp"",""x"":868,""y"":1047,""w"":180,""h"":201}]",Bounding box được audit và gán từ ảnh gốc.
3,anh_000017,san_pham_0005,Chả Bò Viên,data\du_lieu_logo\anh_goc\san_pham_0005\anh_001_8eb3ec0a.jpg,8eb3ec0a234c48a44558448b3c477d774b31fdf85c621d95f9a6d0532377fe34,https://d134sx875xrex2.cloudfront.net/zo0jcScfS0_chabovien.jpg,haccp,1,da_gan_bbox,1,"[{""label"":""haccp"",""x"":394,""y"":487,""w"":89,""h"":94}]",Bounding box được audit và gán từ ảnh gốc.
4,anh_000020,san_pham_0006,Chả Lụa,data\du_lieu_logo\anh_goc\san_pham_0006\anh_001_49d3f9a7.jpg,49d3f9a7fa14532588e09984e1c4aee9fa0bf439e25600c0a679d361795a0498,https://d134sx875xrex2.cloudfront.net/FIOXZiK9q5_BIAchalua.jpg,haccp,1,da_gan_bbox,1,"[{""label"":""haccp"",""x"":567,""y"":618,""w"":108,""h"":117}]",Bounding box được audit và gán từ ảnh gốc.
5,anh_000029,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_004_652a4f5f.jpg,652a4f5f8f122cb1f374866cd373573426579c9d589235fd68bbcf1759d38957,https://d134sx875xrex2.cloudfront.net/kE9F0toKT6_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
6,anh_000030,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_005_54eb4937.jpg,54eb493726c33ecd6f7dded91b58285adcdf3013a5e30eb7c53bd30f1a0a904d,https://d134sx875xrex2.cloudfront.net/ipAG2CBdyA_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
7,anh_000031,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_006_326875d8.jpg,326875d8347649f19e6db3d16392512e14dbaa610031b1fa7feba0ea349bb1bc,https://d134sx875xrex2.cloudfront.net/Wrt9XS5mrx_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0003.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
8,anh_000032,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_007_f5b3e98f.jpg,f5b3e98f464ac66989908851302e6d7980449f37c411fe9ff7711e2db9487d9a,https://d134sx875xrex2.cloudfront.net/ongjyfYdm2_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0004.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
9,anh_000033,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_008_2f08e7b0.jpg,2f08e7b077b70375f73e8e370a4143915847fdd50ccdf4041a35234dd0261cc4,https://d134sx875xrex2.cloudfront.net/ElyVxRfFcC_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0005.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
10,anh_000034,san_pham_0007,Nước rửa rau củ quả Happy Green,data\du_lieu_logo\anh_goc\san_pham_0007\anh_009_89d2f863.jpg,89d2f863a394e88f164864447f679d4890385d28a98cc060c47d8570abb1b8bd,https://d134sx875xrex2.cloudfront.net/wRVcfWGCSW_KQ%20DI%E1%BB%86T%20KHU%E1%BA%A8N%20vi%E1%BB%87n%20Pasteur_page-0006.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
