stt_duyet,ma_anh,ma_san_pham,ten_san_pham,duong_dan_anh,sha256,url_san_pham,url_anh,trang_thai_duyet,logo_quan_sat_duoc,so_logo,chat_luong_anh,ghi_chu
1,anh_000001,san_pham_0001,Hộp quà Chả Bò thượng hạng,data\du_lieu_logo\anh_goc\san_pham_0001\anh_001_a171cc2e.jpg,a171cc2e95cd255435751e682779690477978d1ce38a95be893046002aec0c0a,https://hathyo.com/product/113,https://d134sx875xrex2.cloudfront.net/teMhpxl1Hu_hopquachabothuonghang1.jpg,khong_co_logo_chung_chi,,0,tot,
2,anh_000002,san_pham_0001,Hộp quà Chả Bò thượng hạng,data\du_lieu_logo\anh_goc\san_pham_0001\anh_002_3a6242f2.jpg,3a6242f25e42469276e1ec8dfb2d9c093c1f5307fe63c5e199b023474445a19e,https://hathyo.com/product/113,https://d134sx875xrex2.cloudfront.net/VI00ripvRn_z6908806584656_dce8ed6374d21654e4b4a067232497e4.jpg,khong_co_logo_chung_chi,,0,tot,
3,anh_000003,san_pham_0001,Hộp quà Chả Bò thượng hạng,data\du_lieu_logo\anh_goc\san_pham_0001\anh_003_d684ebeb.jpg,d684ebeb70b0def5d6ed3d3e960ce372df5ebb23266e8762825aa828e8b9c236,https://hathyo.com/product/113,https://d134sx875xrex2.cloudfront.net/RiwKSyvDia_hopquachaboth.jpg,khong_co_logo_chung_chi,,0,tot,
4,anh_000004,san_pham_0001,Hộp quà Chả Bò thượng hạng,data\du_lieu_logo\anh_goc\san_pham_0001\anh_004_27709eb0.jpg,27709eb092e798ca7d37a0c0c32bf7ad3ef4bc623d60e312ea60daa8eabd983b,https://hathyo.com/product/113,https://d134sx875xrex2.cloudfront.net/Eg5zM5CN5T_z6908806584657_b24d778f4b200a099b93ab2414bb5c7e.jpg,khong_co_logo_chung_chi,,0,tot,
5,anh_000005,san_pham_0002,Chả Bò Tai Ớt Xanh,data\du_lieu_logo\anh_goc\san_pham_0002\anh_001_bd2cb1a6.jpg,bd2cb1a60a265ed4ff3dd60560c5840269d4ef03d703086745f2b288a74c66d6,https://hathyo.com/product/114,https://d134sx875xrex2.cloudfront.net/YGBWKXDi3I_chabotaixanh.jpg,co_logo_chung_chi,haccp,1,chap_nhan_duoc,
6,anh_000006,san_pham_0002,Chả Bò Tai Ớt Xanh,data\du_lieu_logo\anh_goc\san_pham_0002\anh_002_ad071c85.png,ad071c85cdab9c580c2d3fb7a15dd02d42a67fec8dda722bc4906acb55313db8,https://hathyo.com/product/114,https://d134sx875xrex2.cloudfront.net/kHw43NT6xz_cha%20bo%20da%20ot%20xiem%20xanh.png,khong_co_logo_chung_chi,,0,tot,
7,anh_000007,san_pham_0002,Chả Bò Tai Ớt Xanh,data\du_lieu_logo\anh_goc\san_pham_0002\anh_003_130923ea.jpg,130923eafc3e03e3ce2dbe50f7d6514984884e09ca882fbe588c70479883ad4e,https://hathyo.com/product/114,https://d134sx875xrex2.cloudfront.net/dqhO9kcFWM_476135670_631223042953506_5602107059936569584_n.jpg,khong_co_logo_chung_chi,,0,chap_nhan_duoc,
8,anh_000008,san_pham_0002,Chả Bò Tai Ớt Xanh,data\du_lieu_logo\anh_goc\san_pham_0002\anh_004_78c66408.jpg,78c66408859dd8b7d44446f0857e1dd122c53bdcfa3237e14aabd446efdb0ff4,https://hathyo.com/product/114,https://d134sx875xrex2.cloudfront.net/lbAYDE7mqT_475915246_631222629620214_4729721971920988669_n.jpg,khong_co_logo_chung_chi,,0,tot,
9,anh_000009,san_pham_0003,Chả Bò Thượng Hạng,data\du_lieu_logo\anh_goc\san_pham_0003\anh_001_32e3ff8b.jpg,32e3ff8b45b2e2bbaab661e779fa3de0b7f442a27b2c8dc6e0f353c929d4e394,https://hathyo.com/product/115,https://d134sx875xrex2.cloudfront.net/KfJcayiRjv_chabothuonghang.jpg,co_logo_chung_chi,haccp,1,tot,
10,anh_000010,san_pham_0003,Chả Bò Thượng Hạng,data\du_lieu_logo\anh_goc\san_pham_0003\anh_002_404fa7fb.png,404fa7fb368bef8ba8d5a6940f03e88e3e2bf6c4ee9307b6ca1b55b77cd2f9a3,https://hathyo.com/product/115,https://d134sx875xrex2.cloudfront.net/qoj1jLUtt2_cha%20bo%20thuong%20hang.png,khong_co_logo_chung_chi,,0,tot,
